subnum,group,block,trial,cue,flank,location,direction,rt,error
18,Control,1,1,None,Neutral,up,left,426.10054569006786,0
18,Control,1,2,Center,Neutral,up,left,405.29271116720645,0
18,Control,1,3,Double,Neutral,up,left,443.0618711923963,0
18,Control,1,4,Spatial,Neutral,up,left,327.91901819490323,0
18,Control,1,5,None,Congruent,up,left,324.0057814887631,0
18,Control,1,6,Center,Congruent,up,left,346.92182802707936,0
18,Control,1,7,Double,Congruent,up,left,390.9006047107557,1
18,Control,1,8,Spatial,Congruent,up,left,335.0810791176578,0
18,Control,1,9,None,Incongruent,up,left,498.1444710754543,0
18,Control,1,10,Center,Incongruent,up,left,432.6417069499733,0
18,Control,1,11,Double,Incongruent,up,left,447.7441802534607,0
18,Control,1,12,Spatial,Incongruent,up,left,439.0871105335136,1
18,Control,1,13,None,Neutral,down,left,548.6476544715835,0
18,Control,1,14,Center,Neutral,down,left,429.2411458947346,0
18,Control,1,15,Double,Neutral,down,left,481.17204590476763,0
18,Control,1,16,Spatial,Neutral,down,left,311.1418126571086,0
18,Control,1,17,None,Congruent,down,left,383.7386721340653,0
18,Control,1,18,Center,Congruent,down,left,374.2382648992521,0
18,Control,1,19,Double,Congruent,down,left,420.175898963911,0
18,Control,1,20,Spatial,Congruent,down,left,403.77552128021546,0
18,Control,1,21,None,Incongruent,down,left,401.20902442218204,0
18,Control,1,22,Center,Incongruent,down,left,449.71168688096327,0
18,Control,1,23,Double,Incongruent,down,left,396.10528352627364,0
18,Control,1,24,Spatial,Incongruent,down,left,466.29062677589627,0
18,Control,1,25,None,Neutral,up,right,517.8215434911147,0
18,Control,1,26,Center,Neutral,up,right,439.07351489587825,0
18,Control,1,27,Double,Neutral,up,right,379.0322461649633,0
18,Control,1,28,Spatial,Neutral,up,right,261.1609163177494,0
18,Control,1,29,None,Congruent,up,right,406.91494635920645,0
18,Control,1,30,Center,Congruent,up,right,309.8257844037904,0
18,Control,1,31,Double,Congruent,up,right,448.26497755043636,1
18,Control,1,32,Spatial,Congruent,up,right,277.76744365462264,0
18,Control,1,33,None,Incongruent,up,right,532.6295949383128,0
18,Control,1,34,Center,Incongruent,up,right,463.4502965114074,0
18,Control,1,35,Double,Incongruent,up,right,404.00426206397276,0
18,Control,1,36,Spatial,Incongruent,up,right,398.3812193914883,0
18,Control,1,37,None,Neutral,down,right,532.9694978090956,0
18,Control,1,38,Center,Neutral,down,right,465.01418456008014,0
18,Control,1,39,Double,Neutral,down,right,287.96714294057506,0
18,Control,1,40,Spatial,Neutral,down,right,276.5821180152662,0
18,Control,1,41,None,Congruent,down,right,380.66214536636153,0
18,Control,1,42,Center,Congruent,down,right,433.55992106090173,0
18,Control,1,43,Double,Congruent,down,right,352.9166900423454,0
18,Control,1,44,Spatial,Congruent,down,right,333.2988534133867,0
18,Control,1,45,None,Incongruent,down,right,536.9537195676985,0
18,Control,1,46,Center,Incongruent,down,right,441.3555721751248,0
18,Control,1,47,Double,Incongruent,down,right,493.89206838945086,0
18,Control,1,48,Spatial,Incongruent,down,right,427.7056339310585,0
18,Control,2,1,None,Neutral,up,left,424.9480366934211,0
18,Control,2,2,Center,Neutral,up,left,450.73369613099203,0
18,Control,2,3,Double,Neutral,up,left,349.56715025521044,0
18,Control,2,4,Spatial,Neutral,up,left,338.6869521956701,1
18,Control,2,5,None,Congruent,up,left,383.8809756969623,1
18,Control,2,6,Center,Congruent,up,left,359.6086897630439,0
18,Control,2,7,Double,Congruent,up,left,299.3593741553136,0
18,Control,2,8,Spatial,Congruent,up,left,352.72051295476433,0
18,Control,2,9,None,Incongruent,up,left,578.3698571229712,1
18,Control,2,10,Center,Incongruent,up,left,412.93605246749496,0
18,Control,2,11,Double,Incongruent,up,left,428.2414276715012,0
18,Control,2,12,Spatial,Incongruent,up,left,407.71384549581455,0
18,Control,2,13,None,Neutral,down,left,339.0262526740362,0
18,Control,2,14,Center,Neutral,down,left,348.4864415572989,0
18,Control,2,15,Double,Neutral,down,left,356.19844764382646,0
18,Control,2,16,Spatial,Neutral,down,left,284.9574198377975,0
18,Control,2,17,None,Congruent,down,left,418.91123683036926,1
18,Control,2,18,Center,Congruent,down,left,421.6495855511042,0
18,Control,2,19,Double,Congruent,down,left,386.57833174138386,1
18,Control,2,20,Spatial,Congruent,down,left,325.3563814999054,0
18,Control,2,21,None,Incongruent,down,left,483.97463394731585,0
18,Control,2,22,Center,Incongruent,down,left,393.5667513399357,0
18,Control,2,23,Double,Incongruent,down,left,449.49104889897,0
18,Control,2,24,Spatial,Incongruent,down,left,417.3135660477835,0
18,Control,2,25,None,Neutral,up,right,448.2990470834743,0
18,Control,2,26,Center,Neutral,up,right,347.7325377237472,0
18,Control,2,27,Double,Neutral,up,right,426.6002979708454,0
18,Control,2,28,Spatial,Neutral,up,right,399.87126988711645,0
18,Control,2,29,None,Congruent,up,right,433.58133161908387,0
18,Control,2,30,Center,Congruent,up,right,316.5205019589361,0
18,Control,2,31,Double,Congruent,up,right,323.1822127643213,0
18,Control,2,32,Spatial,Congruent,up,right,356.15117954057564,1
18,Control,2,33,None,Incongruent,up,right,522.1024334349377,0
18,Control,2,34,Center,Incongruent,up,right,497.48089776315703,0
18,Control,2,35,Double,Incongruent,up,right,537.6354741709314,0
18,Control,2,36,Spatial,Incongruent,up,right,408.80108783024076,0
18,Control,2,37,None,Neutral,down,right,376.53393952573134,0
18,Control,2,38,Center,Neutral,down,right,440.513007265796,0
18,Control,2,39,Double,Neutral,down,right,331.1806133088678,0
18,Control,2,40,Spatial,Neutral,down,right,345.99006939617766,0
18,Control,2,41,None,Congruent,down,right,456.91002026303545,0
18,Control,2,42,Center,Congruent,down,right,373.4209938690199,0
18,Control,2,43,Double,Congruent,down,right,395.3617103010355,0
18,Control,2,44,Spatial,Congruent,down,right,338.316870918394,0
18,Control,2,45,None,Incongruent,down,right,443.632192193075,0
18,Control,2,46,Center,Incongruent,down,right,447.18974336586933,0
18,Control,2,47,Double,Incongruent,down,right,441.1312331254129,1
18,Control,2,48,Spatial,Incongruent,down,right,446.02723565708857,0
18,Control,3,1,None,Neutral,up,left,487.6658681379811,0
18,Control,3,2,Center,Neutral,up,left,290.1178898382215,0
18,Control,3,3,Double,Neutral,up,left,304.9247534772388,0
18,Control,3,4,Spatial,Neutral,up,left,348.12735374182085,0
18,Control,3,5,None,Congruent,up,left,479.03686137982004,1
18,Control,3,6,Center,Congruent,up,left,345.3930058059122,0
18,Control,3,7,Double,Congruent,up,left,374.82528860265893,0
18,Control,3,8,Spatial,Congruent,up,left,348.57901317524244,0
18,Control,3,9,None,Incongruent,up,left,424.18133458946517,1
18,Control,3,10,Center,Incongruent,up,left,511.4570595789735,0
18,Control,3,11,Double,Incongruent,up,left,391.0902981828195,0
18,Control,3,12,Spatial,Incongruent,up,left,468.9890574327875,0
18,Control,3,13,None,Neutral,down,left,485.88272689448036,0
18,Control,3,14,Center,Neutral,down,left,318.11320292715186,0
18,Control,3,15,Double,Neutral,down,left,313.4917729584448,0
18,Control,3,16,Spatial,Neutral,down,left,369.8895458934511,0
18,Control,3,17,None,Congruent,down,left,444.9432204270863,0
18,Control,3,18,Center,Congruent,down,left,374.49303140248793,0
18,Control,3,19,Double,Congruent,down,left,334.6162490490598,0
18,Control,3,20,Spatial,Congruent,down,left,345.7269586306914,0
18,Control,3,21,None,Incongruent,down,left,491.02399698252214,0
18,Control,3,22,Center,Incongruent,down,left,482.74224524440746,0
18,Control,3,23,Double,Incongruent,down,left,539.9569917627708,0
18,Control,3,24,Spatial,Incongruent,down,left,388.27193962453566,0
18,Control,3,25,None,Neutral,up,right,389.5538492123145,0
18,Control,3,26,Center,Neutral,up,right,353.88242668139924,1
18,Control,3,27,Double,Neutral,up,right,360.614213154229,0
18,Control,3,28,Spatial,Neutral,up,right,307.8393374718249,1
18,Control,3,29,None,Congruent,up,right,447.14093607148254,0
18,Control,3,30,Center,Congruent,up,right,452.40528179930664,0
18,Control,3,31,Double,Congruent,up,right,442.68533323754525,0
18,Control,3,32,Spatial,Congruent,up,right,363.73894459112637,0
18,Control,3,33,None,Incongruent,up,right,487.55375491670077,0
18,Control,3,34,Center,Incongruent,up,right,407.81580277405646,0
18,Control,3,35,Double,Incongruent,up,right,425.8162037938496,0
18,Control,3,36,Spatial,Incongruent,up,right,350.33493985631304,0
18,Control,3,37,None,Neutral,down,right,426.97560435712165,0
18,Control,3,38,Center,Neutral,down,right,477.50112725693043,0
18,Control,3,39,Double,Neutral,down,right,305.00589369718557,0
18,Control,3,40,Spatial,Neutral,down,right,280.94590583693457,0
18,Control,3,41,None,Congruent,down,right,417.86870938951154,0
18,Control,3,42,Center,Congruent,down,right,361.39093090832336,0
18,Control,3,43,Double,Congruent,down,right,346.9718334527774,0
18,Control,3,44,Spatial,Congruent,down,right,289.80019560129847,0
18,Control,3,45,None,Incongruent,down,right,544.1956435700996,0
18,Control,3,46,Center,Incongruent,down,right,489.67699766739275,0
18,Control,3,47,Double,Incongruent,down,right,398.80474118522795,0
18,Control,3,48,Spatial,Incongruent,down,right,395.24384912831806,0
18,Control,4,1,None,Neutral,up,left,435.57501191273514,0
18,Control,4,2,Center,Neutral,up,left,420.52827619510197,0
18,Control,4,3,Double,Neutral,up,left,302.174670285883,0
18,Control,4,4,Spatial,Neutral,up,left,425.3907392649819,0
18,Control,4,5,None,Congruent,up,left,349.62102641330995,0
18,Control,4,6,Center,Congruent,up,left,378.4167576918417,0
18,Control,4,7,Double,Congruent,up,left,332.0480061749788,1
18,Control,4,8,Spatial,Congruent,up,left,299.27551405159625,0
18,Control,4,9,None,Incongruent,up,left,463.80546518640483,0
18,Control,4,10,Center,Incongruent,up,left,450.4582951362978,0
18,Control,4,11,Double,Incongruent,up,left,443.7914119821651,0
18,Control,4,12,Spatial,Incongruent,up,left,370.09677228471,1
18,Control,4,13,None,Neutral,down,left,366.7407485594619,0
18,Control,4,14,Center,Neutral,down,left,372.9779902236372,0
18,Control,4,15,Double,Neutral,down,left,273.20910266528006,1
18,Control,4,16,Spatial,Neutral,down,left,382.8198034217678,1
18,Control,4,17,None,Congruent,down,left,405.1318855030262,0
18,Control,4,18,Center,Congruent,down,left,325.61409440820114,0
18,Control,4,19,Double,Congruent,down,left,338.4957598280696,0
18,Control,4,20,Spatial,Congruent,down,left,258.7642419162047,0
18,Control,4,21,None,Incongruent,down,left,411.7319185098578,0
18,Control,4,22,Center,Incongruent,down,left,505.7727006929157,0
18,Control,4,23,Double,Incongruent,down,left,461.1100547664609,0
18,Control,4,24,Spatial,Incongruent,down,left,370.8417406761739,0
18,Control,4,25,None,Neutral,up,right,533.0365238879397,0
18,Control,4,26,Center,Neutral,up,right,396.9727949592476,0
18,Control,4,27,Double,Neutral,up,right,428.31934427088936,0
18,Control,4,28,Spatial,Neutral,up,right,402.7401944243949,0
18,Control,4,29,None,Congruent,up,right,415.6873116697849,0
18,Control,4,30,Center,Congruent,up,right,363.4492213954108,0
18,Control,4,31,Double,Congruent,up,right,406.11916666047546,0
18,Control,4,32,Spatial,Congruent,up,right,435.8979470122872,0
18,Control,4,33,None,Incongruent,up,right,548.711361663035,0
18,Control,4,34,Center,Incongruent,up,right,546.6895129932263,0
18,Control,4,35,Double,Incongruent,up,right,488.63980924617897,0
18,Control,4,36,Spatial,Incongruent,up,right,508.2461187489854,0
18,Control,4,37,None,Neutral,down,right,363.31119243297763,0
18,Control,4,38,Center,Neutral,down,right,382.1995729043309,0
18,Control,4,39,Double,Neutral,down,right,354.28096925008555,0
18,Control,4,40,Spatial,Neutral,down,right,379.2396315404412,0
18,Control,4,41,None,Congruent,down,right,428.65598489471313,0
18,Control,4,42,Center,Congruent,down,right,399.71145790974754,0
18,Control,4,43,Double,Congruent,down,right,445.8673629528922,0
18,Control,4,44,Spatial,Congruent,down,right,341.6588023881075,1
18,Control,4,45,None,Incongruent,down,right,448.4805238022597,0
18,Control,4,46,Center,Incongruent,down,right,526.8221359418756,0
18,Control,4,47,Double,Incongruent,down,right,427.90574200461185,0
18,Control,4,48,Spatial,Incongruent,down,right,348.86335231820823,0
18,Control,5,1,None,Neutral,up,left,401.54164099822293,0
18,Control,5,2,Center,Neutral,up,left,332.0729892365236,0
18,Control,5,3,Double,Neutral,up,left,416.5841104080084,0
18,Control,5,4,Spatial,Neutral,up,left,318.31737811582343,0
18,Control,5,5,None,Congruent,up,left,413.63026517395235,0
18,Control,5,6,Center,Congruent,up,left,412.542600444698,0
18,Control,5,7,Double,Congruent,up,left,291.21595910817433,0
18,Control,5,8,Spatial,Congruent,up,left,360.37188979421785,0
18,Control,5,9,None,Incongruent,up,left,511.2376055111049,0
18,Control,5,10,Center,Incongruent,up,left,480.57310167351756,0
18,Control,5,11,Double,Incongruent,up,left,531.8292646307024,0
18,Control,5,12,Spatial,Incongruent,up,left,487.54990211367556,0
18,Control,5,13,None,Neutral,down,left,474.15416668797945,0
18,Control,5,14,Center,Neutral,down,left,448.9356390183018,0
18,Control,5,15,Double,Neutral,down,left,442.1161828549116,0
18,Control,5,16,Spatial,Neutral,down,left,302.17289208163044,0
18,Control,5,17,None,Congruent,down,left,415.04665301877947,0
18,Control,5,18,Center,Congruent,down,left,430.14568023981394,0
18,Control,5,19,Double,Congruent,down,left,403.40462952599273,0
18,Control,5,20,Spatial,Congruent,down,left,324.4419411032295,0
18,Control,5,21,None,Incongruent,down,left,536.1038124268993,0
18,Control,5,22,Center,Incongruent,down,left,450.2777143585551,0
18,Control,5,23,Double,Incongruent,down,left,431.35525567286766,0
18,Control,5,24,Spatial,Incongruent,down,left,391.6933623218499,0
18,Control,5,25,None,Neutral,up,right,455.431665842387,1
18,Control,5,26,Center,Neutral,up,right,373.66566653342267,0
18,Control,5,27,Double,Neutral,up,right,409.02693648861555,0
18,Control,5,28,Spatial,Neutral,up,right,353.889014281923,0
18,Control,5,29,None,Congruent,up,right,415.6008516773577,0
18,Control,5,30,Center,Congruent,up,right,348.98796430317157,0
18,Control,5,31,Double,Congruent,up,right,386.3906741629137,0
18,Control,5,32,Spatial,Congruent,up,right,317.8360233763073,0
18,Control,5,33,None,Incongruent,up,right,416.274065303406,0
18,Control,5,34,Center,Incongruent,up,right,513.4463664904682,1
18,Control,5,35,Double,Incongruent,up,right,471.0431937017433,0
18,Control,5,36,Spatial,Incongruent,up,right,382.8037635474529,0
18,Control,5,37,None,Neutral,down,right,430.483822069151,0
18,Control,5,38,Center,Neutral,down,right,356.7930290367656,0
18,Control,5,39,Double,Neutral,down,right,431.3149786171366,0
18,Control,5,40,Spatial,Neutral,down,right,316.44811148477135,0
18,Control,5,41,None,Congruent,down,right,451.8710850320973,1
18,Control,5,42,Center,Congruent,down,right,401.13783862234277,0
18,Control,5,43,Double,Congruent,down,right,374.44016030855994,0
18,Control,5,44,Spatial,Congruent,down,right,405.89566425058456,0
18,Control,5,45,None,Incongruent,down,right,450.8621036526413,0
18,Control,5,46,Center,Incongruent,down,right,540.6628801254682,1
18,Control,5,47,Double,Incongruent,down,right,468.5680166266062,0
18,Control,5,48,Spatial,Incongruent,down,right,430.766112246632,1
18,Control,6,1,None,Neutral,up,left,333.4078449636926,0
18,Control,6,2,Center,Neutral,up,left,287.09171079874005,0
18,Control,6,3,Double,Neutral,up,left,458.06792145998224,0
18,Control,6,4,Spatial,Neutral,up,left,353.91687946935076,0
18,Control,6,5,None,Congruent,up,left,455.09721631539696,0
18,Control,6,6,Center,Congruent,up,left,411.7704082026246,0
18,Control,6,7,Double,Congruent,up,left,390.64837321022037,0
18,Control,6,8,Spatial,Congruent,up,left,268.9461948998867,0
18,Control,6,9,None,Incongruent,up,left,486.7144238308311,0
18,Control,6,10,Center,Incongruent,up,left,496.1756186437407,0
18,Control,6,11,Double,Incongruent,up,left,544.1762570034017,0
18,Control,6,12,Spatial,Incongruent,up,left,339.7190805826295,0
18,Control,6,13,None,Neutral,down,left,307.4562727077533,0
18,Control,6,14,Center,Neutral,down,left,319.71102879834274,0
18,Control,6,15,Double,Neutral,down,left,308.232401238415,0
18,Control,6,16,Spatial,Neutral,down,left,392.3985764613619,0
18,Control,6,17,None,Congruent,down,left,400.0225906656168,0
18,Control,6,18,Center,Congruent,down,left,299.4593496771692,0
18,Control,6,19,Double,Congruent,down,left,384.7125173773024,0
18,Control,6,20,Spatial,Congruent,down,left,363.7964440559813,0
18,Control,6,21,None,Incongruent,down,left,498.6144861507621,1
18,Control,6,22,Center,Incongruent,down,left,529.6650061287673,0
18,Control,6,23,Double,Incongruent,down,left,517.0045577096273,0
