numToShow,corrAns,Format,Size,trials.thisN,trials.thisIndex,num_resp.keys,num_resp.corr,num_resp.rt,participant,date
6,e,Numeral,Small,0,5,e,1,0.968251230020542,1337,2019_Mar_06_1721
11,o,Numeral,Large,1,10,o,1,0.582428031979362,1337,2019_Mar_06_1721
Eighteen,e,Verbal,Large,2,22,o,0,0.667694705975009,1337,2019_Mar_06_1721
20,e,Numeral,Large,3,19,e,1,0.717675933992723,1337,2019_Mar_06_1721
7,o,Numeral,Small,4,6,o,1,0.669504068006063,1337,2019_Mar_06_1721
14,e,Numeral,Large,5,13,e,1,0.634180174005451,1337,2019_Mar_06_1721
16,e,Numeral,Large,6,15,e,1,0.582369730982464,1337,2019_Mar_06_1721
Five ,o,Verbal,Small,7,35,o,1,0.552952817990445,1337,2019_Mar_06_1721
17,o,Numeral,Large,8,16,o,1,0.950187392008957,1337,2019_Mar_06_1721
10,e,Numeral,Small,9,9,e,1,0.518301705975318,1337,2019_Mar_06_1721
Twenty,e,Verbal,Large,10,20,e,1,0.618502900004387,1337,2019_Mar_06_1721
Six,e,Verbal,Small,11,34,e,1,0.51871929000481,1337,2019_Mar_06_1721
Nine ,o,Verbal,Small,12,31,o,1,0.56792840900016,1337,2019_Mar_06_1721
12,e,Numeral,Large,13,11,e,1,0.602716611989308,1337,2019_Mar_06_1721
Four ,e,Verbal,Small,14,36,e,1,0.685573235998163,1337,2019_Mar_06_1721
19,o,Numeral,Large,15,18,o,1,0.602942511002766,1337,2019_Mar_06_1721
3,o,Numeral,Small,16,2,o,1,0.667333677003626,1337,2019_Mar_06_1721
Fifteen,o,Verbal,Large,17,25,o,1,0.651506291993428,1337,2019_Mar_06_1721
Twelve,e,Verbal,Large,18,28,e,1,0.685938892012928,1337,2019_Mar_06_1721
1,o,Numeral,Small,19,0,o,1,0.634979755006498,1337,2019_Mar_06_1721
18,e,Numeral,Large,20,17,e,1,0.651888141001109,1337,2019_Mar_06_1721
Ten,e,Verbal,Small,21,30,e,1,0.735421615012456,1337,2019_Mar_06_1721
4,e,Numeral,Small,22,3,e,1,0.901730501005659,1337,2019_Mar_06_1721
Sixteen,e,Verbal,Large,23,24,e,1,0.636380299984012,1337,2019_Mar_06_1721
Seventeen,o,Verbal,Large,24,23,o,1,0.585260371008189,1337,2019_Mar_06_1721
Eight ,e,Verbal,Small,25,32,e,1,0.502287149021868,1337,2019_Mar_06_1721
Eleven,o,Verbal,Large,26,29,o,1,0.535486309992848,1337,2019_Mar_06_1721
8,e,Numeral,Small,27,7,e,1,0.718119294004282,1337,2019_Mar_06_1721
Seven,o,Verbal,Small,28,33,o,1,0.78404937099549,1337,2019_Mar_06_1721
13,o,Numeral,Large,29,12,o,1,0.718148522020783,1337,2019_Mar_06_1721
5,o,Numeral,Small,30,4,o,1,0.55243804800557,1337,2019_Mar_06_1721
One,o,Verbal,Small,31,39,o,1,0.684040335996542,1337,2019_Mar_06_1721
Thirteen,o,Verbal,Large,32,27,o,1,0.551710961997742,1337,2019_Mar_06_1721
Fourteen,e,Verbal,Large,33,26,e,1,0.58558738901047,1337,2019_Mar_06_1721
Nineteen,o,Verbal,Large,34,21,o,1,1.16756616099156,1337,2019_Mar_06_1721
Three ,o,Verbal,Small,35,37,o,1,0.63520393599174,1337,2019_Mar_06_1721
Two,e,Verbal,Small,36,38,e,1,0.585872263996862,1337,2019_Mar_06_1721
2,e,Numeral,Small,37,1,e,1,0.535597026988398,1337,2019_Mar_06_1721
15,o,Numeral,Large,38,14,o,1,0.651920200005407,1337,2019_Mar_06_1721
9,o,Numeral,Small,39,8,o,1,0.536269737989642,1337,2019_Mar_06_1721
