numToShow,corrAns,Format,Size,trials.thisN,trials.thisIndex,num_resp.keys,num_resp.corr,num_resp.rt,participant,date,notes
Four,e,Verbal,Small,0,23,o,0,0.7031303,3012,2019_Mar_05_1304,a
Twelve,e,Verbal,Large,1,31,e,1,2.286144266,3012,2019_Mar_05_1304,b
14,e,Numeral,Large,2,13,e,1,0.089536867,3012,2019_Mar_05_1304,c
Twenty,e,Verbal,Large,3,39,e,1,0.733712254,3012,2019_Mar_05_1304,d
6,e,Numeral,Small,4,5,e,1,0.539074113,3012,2019_Mar_05_1304,a
10,e,Numeral,Small,5,9,e,1,0.618957367,3012,2019_Mar_05_1304,b
5,o,Numeral,Small,6,4,o,1,0.568153473,3012,2019_Mar_05_1304,c
Five,o,Verbal,Small,7,24,o,1,0.471083615,3012,2019_Mar_05_1304,d
Ten,e,Verbal,Small,8,29,e,1,0.7165999,3012,2019_Mar_05_1304,a
Nineteen,o,Verbal,Large,9,38,o,1,1.47043699,3012,2019_Mar_05_1304,b
9,o,Numeral,Small,10,8,o,1,0.520435696,3012,2019_Mar_05_1304,c
Eight,e,Verbal,Small,11,27,e,1,0.6543346,3012,2019_Mar_05_1304,d
Fourteen,e,Verbal,Large,12,33,e,1,0.989054261,3012,2019_Mar_05_1304,a
8,e,Numeral,Small,13,7,e,1,0.472885311,3012,2019_Mar_05_1304,b
17,o,Numeral,Large,14,16,o,1,0.386759983,3012,2019_Mar_05_1304,c
Sixteen,e,Verbal,Large,15,35,e,1,0.685363276,3012,2019_Mar_05_1304,d
Two,e,Verbal,Small,16,21,e,1,0.470995572,3012,2019_Mar_05_1304,a
19,o,Numeral,Large,17,18,o,1,0.587481876,3012,2019_Mar_05_1304,b
12,e,Numeral,Large,18,11,e,1,0.570961546,3012,2019_Mar_05_1304,c
20,e,Numeral,Large,19,19,e,1,0.503957187,3012,2019_Mar_05_1304,d
Eighteen,e,Verbal,Large,20,37,e,1,0.786943917,3012,2019_Mar_05_1304,a
One,o,Verbal,Small,21,20,o,1,0.537623779,3012,2019_Mar_05_1304,b
13,o,Numeral,Large,22,12,o,1,0.521376606,3012,2019_Mar_05_1304,c
16,e,Numeral,Large,23,15,e,1,0.58649932,3012,2019_Mar_05_1304,d
4,e,Numeral,Small,24,3,e,1,0.603914758,3012,2019_Mar_05_1304,a
Six,e,Verbal,Small,25,25,e,1,0.471549356,3012,2019_Mar_05_1304,b
1,o,Numeral,Small,26,0,o,1,0.421398195,3012,2019_Mar_05_1304,c
Thirteen,o,Verbal,Large,27,32,o,1,0.50086205,3012,2019_Mar_05_1304,d
Three,o,Verbal,Small,28,22,o,1,0.46745764,3012,2019_Mar_05_1304,a
11,o,Numeral,Large,29,10,o,1,0.383688917,3012,2019_Mar_05_1304,b
7,o,Numeral,Small,30,6,o,1,0.370797445,3012,2019_Mar_05_1304,c
Seventeen,o,Verbal,Large,31,36,o,1,0.517341264,3012,2019_Mar_05_1304,d
3,o,Numeral,Small,32,2,o,1,0.553390967,3012,2019_Mar_05_1304,a
Nine,o,Verbal,Small,33,28,o,1,0.501097837,3012,2019_Mar_05_1304,b
Eleven,o,Verbal,Large,34,30,o,1,0.50101734,3012,2019_Mar_05_1304,c
2,e,Numeral,Small,35,1,e,1,0.454536817,3012,2019_Mar_05_1304,d
Fifteen,o,Verbal,Large,36,34,o,1,0.770831172,3012,2019_Mar_05_1304,a
15,o,Numeral,Large,37,14,o,1,0.800082215,3012,2019_Mar_05_1304,b
18,e,Numeral,Large,38,17,e,1,0.586696143,3012,2019_Mar_05_1304,c
Seven,o,Verbal,Small,39,26,e,0,0.587642151,3012,2019_Mar_05_1304,d
